年齢,月齢,制度,項目,内容,備考
０歳,３か月,予防接種,インフルエンザ菌b型(ヒブ)②,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,３か月,予防接種,肺炎球菌(PCV13)②,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,３か月,予防接種,B型肝炎　ユニバーサルワクチン②,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,３か月,予防接種,ロタウイルス　１価②,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,３か月,予防接種,ロタウイルス　５価②,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,３か月,予防接種,４種混合(DPT-IPV)①,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,３か月,予防接種,３種混合(DPT-IPV)①,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,３か月,予防接種,ポリオ(IPV)①,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,４か月,健診,3か月児健康診査,"生涯を通じて発育の最も旺盛な時期です。赤ちゃんの健康状態を正しく知るために、ぜひ健診を受けましょう。保健師・管理栄養士による育児・離乳食相談ができます。また、当健診時に乳児後期健康診査受診票もお渡しします。

対象：生後4か月ごろ

受診方法：区役所（保健福祉センター）から個別通知します。通知が届きましたら、指定の日時に受診してください。

（通知は健診月の前月に送付します。）

（注）指定の日時に受診できない場合は、区役所（保健福祉センター）にご連絡ください。

健診の内容

育児・離乳食・絵本についてのお話（保健師・管理栄養士・図書館司書）
身体計測（看護師）
診察（医師）
育児・離乳食・発育・発達相談（保健師・管理栄養士）",
０歳,４か月,予防接種,インフルエンザ菌b型(ヒブ)③,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,４か月,予防接種,肺炎球菌(PCV13)③,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,４か月,予防接種,ロタウイルス　５価③,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,４か月,予防接種,４種混合(DPT-IPV)②,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,４か月,予防接種,３種混合(DPT-IPV)②,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,４か月,予防接種,ポリオ(IPV)②,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,５か月,予防接種,４種混合(DPT-IPV)③,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,５か月,予防接種,３種混合(DPT-IPV)③,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,５か月,予防接種,ポリオ(IPV)③,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,５か月,予防接種,BCG①,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,６か月,予防接種,B型肝炎　母子感染予防③,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,６か月,予防接種,４種混合(DPT-IPV)③,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,６か月,予防接種,３種混合(DPT-IPV)③,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,６か月,予防接種,ポリオ(IPV)③,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,６か月,予防接種,BCG①,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,７か月,予防接種,B型肝炎　ユニバーサル③,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,７か月,予防接種,４種混合(DPT-IPV)③,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,７か月,予防接種,３種混合(DPT-IPV)③,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,７か月,予防接種,ポリオ(IPV)③,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,７か月,予防接種,BCG①,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,８か月,予防接種,B型肝炎　ユニバーサル③,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,８か月,予防接種,４種混合(DPT-IPV)③,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,８か月,予防接種,３種混合(DPT-IPV)③,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,８か月,予防接種,ポリオ(IPV)③,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,９-11か月,健診,乳児後期健康診査（後期）,"対象：生後9～11か月

 受診方法：受診票（3か月児健康診査にて交付）を用いて、かかりつけの医療機関にお問合せのうえ、受診してください。",
０歳,９-11か月,予防接種,４種混合(DPT-IPV)③,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,９-11か月,予防接種,３種混合(DPT-IPV)③,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,９-11か月,予防接種,ポリオ(IPV)③,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
１歳,全期間,健診,1歳6か月児健康診査,"歩行や言語発達、生活習慣の自立を感じる時期です。お子さんの健康や発達の状態を正しく知り、これからの育児を考えるよい機会です。健康や育児に関する相談もできますので、ぜひ受けましょう。

対象：生後1歳7か月ごろ

受診方法：区役所（保健福祉センター）から個別通知します。通知が届きましたら、指定の日時に受診してください。

（通知は健診月の前月に送付します。）

（注）指定の日時に受診できない場合は、区役所（保健福祉センター）にご連絡ください。

健診の内容

育児・食事・虫歯についてのお話（保健師・保育士・管理栄養士・歯科衛生士）
歯科健診（歯科医師）
身体測定（看護師）
診察（医師）
虫歯予防のためのフッ化物塗布（歯科衛生士）※希望者のみ
育児・栄養・発育・発達相談（保健師・保育士・管理栄養士・心理相談員）",
１歳,12-15か月,予防接種,"インフルエンザ菌b型(ヒブ)④（注１）
（注１）④は12か月から接種することで適切な免疫が早期に得られる。１歳をこえたら接種する",,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
１歳,12-15か月,予防接種,肺炎球菌(PCV13)④,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
１歳,12-15か月,予防接種,"４種混合(DPT-IPV)④（注６）
（注６）③－④は６か月以上あけ、標準的には③終了後12－18か月の間に接種",,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
１歳,12-15か月,予防接種,"３種混合(DPT-IPV)④（注６）
（注６）③－④は６か月以上あけ、標準的には③終了後12－18か月の間に接種",,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
１歳,12-15か月,予防接種,"ポリオ(IPV)③（注６）
（注６）③－④は６か月以上あけ、標準的には③終了後12－18か月の間に接種",,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
１歳,12-15か月,予防接種,麻疹・風疹混合(MR)①,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
１歳,12-15か月,予防接種,水痘①,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
１歳,12-15か月,予防接種,"【任意接種】
おたふくかぜ①
①は1歳を過ぎたら早期に接種、②はMRと同時期（５歳以上７歳未満で小学校入学前の１年間）での接種を推奨する",,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
１歳,16-17か月,予防接種,"インフルエンザ菌b型(ヒブ)④（注１）
（注１）④は12か月から接種することで適切な免疫が早期に得られる。１歳をこえたら接種する",,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
１歳,16-17か月,予防接種,"４種混合(DPT-IPV)④（注６）
（注６）③－④は６か月以上あけ、標準的には③終了後12－18か月の間に接種",,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
１歳,16-17か月,予防接種,"３種混合(DPT-IPV)④（注６）
（注６）③－④は６か月以上あけ、標準的には③終了後12－18か月の間に接種",,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
１歳,16-17か月,予防接種,"ポリオ(IPV)③（注６）
（注６）③－④は６か月以上あけ、標準的には③終了後12－18か月の間に接種",,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
１歳,16-17か月,予防接種,麻疹・風疹混合(MR)①,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
１歳,18-23か月,予防接種,"４種混合(DPT-IPV)④（注６）
（注６）③－④は６か月以上あけ、標準的には③終了後12－18か月の間に接種",,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
１歳,18-23か月,予防接種,"３種混合(DPT-IPV)④（注６）
（注６）③－④は６か月以上あけ、標準的には③終了後12－18か月の間に接種",,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
１歳,18-23か月,予防接種,"ポリオ(IPV)④（注６）
（注６）③－④は６か月以上あけ、標準的には③終了後12－18か月の間に接種",,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
１歳,18-23か月,予防接種,麻疹・風疹混合(MR)①,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
１歳,18-23か月,予防接種,水痘②,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
２歳,全期間,テキスト,テキスト,,テキスト
３歳,全期間,健診,3歳児健康診査,"幼児期において身体発育、精神発達の面から重要な時期です。尿検査や歯のフッ化物塗布も行っています。健康や育児に関する相談もできますので、ぜひ受けましょう。

対象：生後3歳6か月ごろ

受診方法：区役所（保健福祉センター）から個別通知します。通知が届きましたら、指定の日時に受診してください。

（通知は健診月の前月に送付します。）

（注）指定の日時に受診できない場合は、区役所（保健福祉センター）にご連絡ください。

健診の内容

育児・食事・虫歯についてのお話（保健師・保育士・管理栄養士・歯科衛生士）
尿検査（臨床検査技師）※健診通知に尿検査容器を同封します。
歯科健診（歯科医師）
身体計測（看護師）
診察（医師）
虫歯予防のためのフッ化物塗布（歯科衛生士）※希望者のみ
育児・栄養・発育・発達相談（保健師・保育士・管理栄養士・心理相談員）",
３歳,全期間,予防接種,"日本脳炎①②
①－②は6-28日(1-4週)あける",,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
４歳,全期間,予防接種,日本脳炎③,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
５歳,全期間,予防接種,"３種混合(DPT-IPV)⑤（注７）
（注７）就学前児の百日咳抗体価が低下していることを受けて、就学前の追加接種を推奨",,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
５歳,全期間,予防接種,"ポリオ(IPV)⑤（注９）
（注９）ポリオに対する抗体価が減衰する前に就学前の接種を推奨",,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
５歳,全期間,予防接種,"麻疹・風疹混合(MR)②（注10）
（注10）小学校入学前の１年間",,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
５歳,全期間,予防接種,"【任意接種】
おたふくかぜ②（注12）
（注12）予防効果を確実にするために、２回接種が必要である
①は1歳を過ぎたら早期に接種、②はMRと同時期（５歳以上７歳未満で小学校入学前の１年間）での接種を推奨する",,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
