年齢,月齢,制度,項目,内容
０歳,10か月,予防接種,ヒブ(インフルエンザ菌b型)　※接種開始時期：生後7～12か月に至るまで②,6
０歳,10か月,予防接種,小児用肺炎球菌(PCV13)　※接種開始時期：生後7～12か月に至るまで②,9
０歳,10か月,予防接種,４種混合(DPT-IPV)[ジフテリア・百日せき・破傷風・ポリオ]③,12
０歳,11か月,予防接種,ヒブ(インフルエンザ菌b型)④　接種開始時期：生後2～7か月に至るまで※標準的な接種年齢,5
０歳,11か月,予防接種,ヒブ(インフルエンザ菌b型）　※接種開始時期：生後7～12か月に至るまで②,6
０歳,11か月,予防接種,小児用肺炎球菌(PCV13)　※接種開始時期：生後7～12か月に至るまで②,9
０歳,11か月,予防接種,４種混合(DPT-IPV)[ジフテリア・百日せき・破傷風・ポリオ]③,12
１歳,０か月,予防接種,ヒブ(インフルエンザ菌b型)④　接種開始時期：生後2～7か月に至るまで※標準的な接種年齢,5
１歳,０か月,予防接種,ヒブ(インフルエンザ菌b型)　※接種開始時期：生後12～60か月に至るまで①,7
１歳,０か月,予防接種,小児用肺炎球菌(PCV13)④　接種開始時期：生後２～７か月に至るまで※標準的な接種年齢,8
１歳,０か月,予防接種,小児用肺炎球菌(PCV13)　※接種開始時期：生後7～12か月に至るまで③,9
１歳,０か月,予防接種,小児用肺炎球菌(PCV13)　※接種開始時期：生後12～24か月に至るまで①,10
１歳,０か月,予防接種,麻しん・風しん(MR)①,16
１歳,０か月,予防接種,水痘①,17
１歳,２か月,予防接種,小児用肺炎球菌(PCV13)　※接種開始時期：生後12～24か月に至るまで②,10
１歳,３か月,予防接種,ヒブ(インフルエンザ菌b型)④　接種開始時期：生後2～7か月に至るまで※標準的な接種年齢,5
１歳,３か月,予防接種,ヒブ(インフルエンザ菌b型)　※接種開始時期：生後7～12か月に至るまで③,6
１歳,３か月,予防接種,小児用肺炎球菌(PCV13)　※接種開始時期：生後7～12か月に至るまで③,9
１歳,４か月,予防接種,ヒブ(インフルエンザ菌b型)　※接種開始時期：生後7～12か月に至るまで③,6
１歳,５か月,予防接種,ヒブ(インフルエンザ菌b型)　※接種開始時期：生後7～12か月に至るまで③,6
１歳,６か月,予防接種,ヒブ(インフルエンザ菌b型)④　接種開始時期：生後2～7か月に至るまで※標準的な接種年齢,5
１歳,６か月,予防接種,ヒブ(インフルエンザ菌b型)　※接種開始時期：生後7～12か月に至るまで③,6
１歳,６か月,予防接種,４種混合(DPT-IPV)[ジフテリア・百日せき・破傷風・ポリオ]④,12
１歳,６か月,予防接種,水痘②,17
１歳,7か月,健診,1歳6か月児健康診査,歩行や言語発達、生活習慣の自立を感じる時期です。お子さんの健康や発達の状態を正しく知り、これからの育児を考えるよい機会です。健康や育児に関する相談もできますので、ぜひ受けましょう。<br>対象：生後1歳7か月ごろ<br>受診方法：区役所（保健福祉センター）から個別通知します。通知が届きましたら、指定の日時に受診してください。<br>（通知は健診月の前月に送付します。）<br>（注）指定の日時に受診できない場合は、区役所（保健福祉センター）にご連絡ください。<br>健診の内容<br>・育児・食事・虫歯についてのお話（保健師・保育士・管理栄養士・歯科衛生士）<br>・歯科健診（歯科医師）<br>・身体測定（看護師）<br>・診察（医師）<br>・虫歯予防のためのフッ化物塗布（歯科衛生士）※希望者のみ<br>・育児・栄養・発育・発達相談（保健師・保育士・管理栄養士・心理相談員）
2歳,0か月,予防接種,ヒブ(インフルエンザ菌b型)　※接種開始時期：生後12～60か月に至るまで①,7
2歳,0か月,予防接種,小児用肺炎球菌(PCV13)　※接種開始時期：生後12～24か月に至るまで①,10
2歳,0か月,予防接種,小児用肺炎球菌(PCV13)　※接種開始時期：生後24～60か月に至るまで①,11
2歳,2か月,予防接種,小児用肺炎球菌(PCV13)　※接種開始時期：生後12～24か月に至るまで②,10
３歳,0か月,予防接種,ヒブ(インフルエンザ菌b型)　※接種開始時期：生後12～60か月に至るまで①,7
３歳,0か月,予防接種,小児用肺炎球菌(PCV13)　※接種開始時期：生後24～60か月に至るまで①,11
３歳,0か月,予防接種,日本脳炎①②,18
３歳,6か月,健診,３歳児健診,"幼児期において身体発育、精神発達の面から重要な時期です。尿検査や歯のフッ化物塗布も行っています。健康や育児に関する相談もできますので、ぜひ受けましょう。<br>対象：生後3歳6か月ごろ<br>
受診方法：区役所（保健福祉センター）から個別通知します。通知が届きましたら、指定の日時に受診してください。<br>（通知は健診月の前月に送付します。）<br>（注）指定の日時に受診できない場合は、区役所（保健福祉センター）にご連絡ください。<br>健診の内容<br>・育児・食事・虫歯についてのお話（保健師・保育士・管理栄養士・歯科衛生士）<br>・尿検査（臨床検査技師）※健診通知に尿検査容器を同封します。<br>・歯科健診（歯科医師）<br>・身体計測（看護師）<br>・診察（医師）<br>・虫歯予防のためのフッ化物塗布（歯科衛生士）※希望者のみ<br>・育児・栄養・発育・発達相談（保健師・保育士・管理栄養士・心理相談員）"
４歳,0か月,予防接種,ヒブ(インフルエンザ菌b型)　※接種開始時期：生後12～60か月に至るまで①,7
４歳,0か月,予防接種,小児用肺炎球菌(PCV13)　※接種開始時期：生後24～60か月に至るまで①,11
４歳,0か月,予防接種,日本脳炎③,18
５歳,0か月,予防接種,麻しん・風しん(MR)②,16
６歳,0か月,予防接種,麻しん・風しん(MR)②,16
小学生,9歳以上13歳未満,予防接種,日本脳炎（２期）,18
小学生,11歳以上13歳未満,予防接種,ジフテリア　破傷風（DT)(２期）,14
中学1年生,中学1年生,予防接種,日本脳炎（２期）,18
中学1年生,中学1年生,予防接種,ジフテリア　破傷風（DT)(２期）,14
中学1年生,中学1年生,予防接種,子宮頸がん予防　サーバリックス（2価）,19
中学1年生,中学1年生,予防接種,子宮頸がん予防　ガーダシル（4価）,20
予防接種（任意接種）（自費）,0歳６か月,予防接種(自費)任意接種,インフルエンザ,"■対象年齢<br>生後６か月～<br>■標準的な接種年齢<br>毎年2回(10～12月頃)<br>■接種回数<br>2<br>■接種間隔<br>2～4週の間隔をあけて2回接種(毎年の接種が推奨される)<br>■接種費用<br>1回3,000円から4,000円程度<br>"
予防接種（任意接種）（自費）,１歳,予防接種(自費)任意接種,流行性耳下腺炎(おたふくかぜ)①,"■対象年齢<br>1歳以上<br>■標準的な接種年齢<br>1歳以上早期<br>■接種回数<br>1<br>■接種間隔<br>2回の接種により免疫がより強化される。2回目を接種する場合はMR2期と同時期を推奨<br>■接種費用<br>1回5,000円程度"
予防接種（任意接種）（自費）,５歳,予防接種(自費)任意接種,流行性耳下腺炎(おたふくかぜ)(②),"■対象年齢<br>1歳以上<br>■標準的な接種年齢<br>1歳以上早期<br>■接種回数<br>1<br>■接種間隔<br>2回の接種により免疫がより強化される。2回目を接種する場合はMR2期と同時期を推奨<br>■接種費用<br>1回5,000円程度"
予防接種（任意接種）（自費）,６歳,予防接種(自費)任意接種,流行性耳下腺炎(おたふくかぜ)(②),"■対象年齢<br>1歳以上<br>■標準的な接種年齢<br>1歳以上早期<br>■接種回数<br>1<br>■接種間隔<br>2回の接種により免疫がより強化される。2回目を接種する場合はMR2期と同時期を推奨<br>■接種費用<br>1回5,000円程度"
